Year,Week_Number,Weekly_Weighted_Avg_TT_TU,Weekly_Weighted_Avg_RF_TU
2020,22,12.837999431586741,64.92435355699672
2020,23,12.074007813781595,73.59218047072098
2020,24,12.873038354947488,75.87442932251378
2020,25,14.807017630285491,60.934529578127616
2020,26,13.97486369436139,64.79863444061952
2020,27,13.022882606662025,67.36131285501793
2020,28,11.963656089307205,66.07533286401157
2020,29,12.821428766827054,56.78245751595248
2020,30,14.647170274234972,56.33975225231994
2020,31,10.351019323129222,54.915141326786774
2020,32,16.792002579622157,58.57589131898515
2020,33,17.165871892115213,65.0979991302872
2020,34,14.225307261396216,69.19486784314196
2020,35,11.634323707063775,75.25397904205822
2020,36,10.498605802098938,68.66056816842048
2020,37,15.257212168547632,66.08917528381461
2020,38,10.270728369830408,70.17089496713825
2020,39,8.501805282937404,80.92484820399966
2020,40,10.734340218901673,81.79454373529109
2020,41,6.844630409518986,86.35474913193934
2020,42,9.776616249568727,82.02203023097915
2020,43,9.20626539413985,84.97051896699112
2020,44,8.395079285104666,83.62943633229396
2020,45,4.93650071112093,86.9545078266559
2020,46,5.701967670151706,82.25147372448775
2020,47,1.048006157981797,87.55033836748503
2020,48,-1.1161761893340834,85.00508057264041
2020,49,1.0661914349592128,90.48373481899408
2020,50,3.17066332971065,89.04895664020985
2020,51,2.571991324595614,86.86737465776865
2020,52,-0.49914217760670254,83.36585214366026
2021,00,-5.2482206161426594,84.28060586169364
2021,01,-2.4741689518824326,88.47461940287442
2021,02,-2.346757475691155,84.23057018086968
2021,03,2.04591414140807,82.81683589677904
2021,04,-0.26180720598710294,87.85811266012429
2021,05,1.7697881777302769,87.64781977291707
2021,06,-8.744010088260378,78.47155073564443
2021,07,-0.6657843940501437,76.28438455763191
2021,08,6.20084989538701,73.24499659471793
2021,09,1.2410370050669475,74.7850192535189
2021,10,2.132891981627707,73.16724350581954
2021,11,-1.7716040977395098,76.40588059351892
2021,12,5.251410204044421,73.03657256907543
2021,13,8.80125259328409,61.6016581138885
2021,14,2.193530124373444,70.35492266132562
2021,15,2.772769457595372,72.09642140320463
2021,16,5.296789291885671,67.33907267126395
2021,17,3.5632351211515005,59.10178835415575
2021,18,5.999723605106701,70.63973272893834
2021,19,10.83695509973713,73.03601934241293
2021,20,6.9307139922634615,73.12263378284786
2021,21,6.8904357494714485,72.09454735872457
2021,22,11.577226751687233,60.96781139716921
2021,23,16.392863156049046,74.29870755858474
2021,24,16.954923957513117,57.47125532181769
2021,25,12.333889698677407,71.67872344709993
2021,26,15.096008737378693,75.28932924962841
2021,27,15.949975046260874,79.32749974008613
2021,28,13.326575973381575,76.74035136494817
2021,29,14.487486952527558,67.42254988811683
2021,30,14.580437646370022,68.96596896955504
2021,31,15.150154179916797,79.57687319706454
2021,32,13.908787752059109,68.39591838753171
2021,33,14.602351669991679,73.56671225630213
2021,34,10.468284359739403,77.61526417344737
2021,35,12.686916063925485,80.53144146835375
2021,36,14.235876275524458,73.4129580773105
2021,37,14.399443532001456,81.5687250911545
2021,38,11.433868055427713,77.73739511399096
2021,39,10.903533579561502,77.8231373811288
2021,40,10.727079060252281,81.99556218837803
2021,41,6.9025734806992585,84.40784302341228
2021,42,8.635302455196026,80.80557497453252
2021,43,6.29977647543419,81.36570340894916
2021,44,7.3698873331797525,87.56257494166375
2021,45,4.5114057496738535,88.47493217708366
2021,46,4.7902687421712,88.16223546336674
2021,47,0.872218523280222,86.15339421249104
2021,48,0.6078304039841969,86.67390801819235
2021,49,-1.1452026779897637,87.83178303887682
2021,50,3.1548986934772616,91.61558025475124
2021,51,-2.222309267217357,85.01701034046157
2021,52,2.1968002404844396,86.5398641797834
2022,00,6.798844507442421,84.47291261579895
2022,01,2.947390329190852,84.60656084107661
2022,02,-0.5211153193383693,88.36439750308537
2022,03,1.2543921049284452,85.49138611017364
2022,04,1.7980286641387493,86.58962845874547
2022,05,2.8830064355569864,81.89532824669452
2022,06,3.0745715830883915,81.18903237602373
2022,07,1.9691508654623708,68.91166009684501
2022,08,0.7178845190484205,72.59522899290126
2022,09,-0.8914542928854045,66.09837394136993
2022,10,1.9366634528411306,55.59901323927883
2022,11,5.714999292414085,70.49346635948531
2022,12,7.503519962829474,52.996787485724575
2022,13,5.018338224041459,71.73061212078937
